Device,Day,Hour,Type,Sub-Type,Value
PV,21,11,Generated,Electricity,0.6
PV,21,12,Generated,Electricity,0.63
PV,21,13,Generated,Electricity,0.57
PV,21,14,Generated,Electricity,0.42
PV,21,15,Generated,Electricity,0.22
PV,21,16,Generated,Electricity,0.04
PV,21,17,Generated,Electricity,0.0
PV,21,18,Generated,Electricity,0.0
PV,21,19,Generated,Electricity,0.0
PV,21,20,Generated,Electricity,0.0
PV,21,21,Generated,Electricity,0.0
PV,21,22,Generated,Electricity,0.0
PV,21,23,Generated,Electricity,0.0
PV,22,0,Generated,Electricity,0.0
PV,22,1,Generated,Electricity,0.0
PV,22,2,Generated,Electricity,0.0
PV,22,3,Generated,Electricity,0.0
PV,22,4,Generated,Electricity,0.0
PV,22,5,Generated,Electricity,0.0
PV,22,6,Generated,Electricity,0.0
PV,22,7,Generated,Electricity,0.02
PV,22,8,Generated,Electricity,0.2
PV,22,9,Generated,Electricity,0.46
PV,22,10,Generated,Electricity,0.69
PV,22,11,Generated,Electricity,0.86
PV,22,12,Generated,Electricity,0.93
PV,22,13,Generated,Electricity,0.9
PV,22,14,Generated,Electricity,0.78
PV,22,15,Generated,Electricity,0.58
PV,22,16,Generated,Electricity,0.33
PV,22,17,Generated,Electricity,0.08
PV,22,18,Generated,Electricity,0.0
PV,22,19,Generated,Electricity,0.0
PV,22,20,Generated,Electricity,0.0
PV,22,21,Generated,Electricity,0.0
PV,22,22,Generated,Electricity,0.0
PV,22,23,Generated,Electricity,0.0
PV,23,0,Generated,Electricity,0.0
PV,23,1,Generated,Electricity,0.0
PV,23,2,Generated,Electricity,0.0
PV,23,3,Generated,Electricity,0.0
PV,23,4,Generated,Electricity,0.0
PV,23,5,Generated,Electricity,0.0
PV,23,6,Generated,Electricity,0.0
PV,23,7,Generated,Electricity,0.02
PV,23,8,Generated,Electricity,0.2
PV,23,9,Generated,Electricity,0.46
PV,23,10,Generated,Electricity,0.69
PV,23,11,Generated,Electricity,0.86
PV,23,12,Generated,Electricity,0.93
PV,23,13,Generated,Electricity,0.9
PV,23,14,Generated,Electricity,0.78
PV,23,15,Generated,Electricity,0.58
PV,23,16,Generated,Electricity,0.33
PV,23,17,Generated,Electricity,0.08
PV,23,18,Generated,Electricity,0.0
PV,23,19,Generated,Electricity,0.0
PV,23,20,Generated,Electricity,0.0
PV,23,21,Generated,Electricity,0.0
PV,23,22,Generated,Electricity,0.0
PV,23,23,Generated,Electricity,0.0
PV,24,0,Generated,Electricity,0.0
PV,24,1,Generated,Electricity,0.0
PV,24,2,Generated,Electricity,0.0
PV,24,3,Generated,Electricity,0.0
PV,24,4,Generated,Electricity,0.0
PV,24,5,Generated,Electricity,0.0
PV,24,6,Generated,Electricity,0.0
PV,24,7,Generated,Electricity,0.01
PV,24,8,Generated,Electricity,0.1
PV,24,9,Generated,Electricity,0.31
PV,24,10,Generated,Electricity,0.49
PV,24,11,Generated,Electricity,0.6
PV,24,12,Generated,Electricity,0.63
PV,24,13,Generated,Electricity,0.57
PV,24,14,Generated,Electricity,0.42
PV,24,15,Generated,Electricity,0.22
PV,24,16,Generated,Electricity,0.04
PV,24,17,Generated,Electricity,0.0
PV,24,18,Generated,Electricity,0.0
PV,24,19,Generated,Electricity,0.0
PV,24,20,Generated,Electricity,0.0
PV,24,21,Generated,Electricity,0.0
PV,24,22,Generated,Electricity,0.0
PV,24,23,Generated,Electricity,0.0
PV,25,0,Generated,Electricity,0.0
PV,25,1,Generated,Electricity,0.0
PV,25,2,Generated,Electricity,0.0
PV,25,3,Generated,Electricity,0.0
PV,25,4,Generated,Electricity,0.0
PV,25,5,Generated,Electricity,0.0
PV,25,6,Generated,Electricity,0.0
PV,25,7,Generated,Electricity,0.02
PV,25,8,Generated,Electricity,0.2
PV,25,9,Generated,Electricity,0.46
PV,25,10,Generated,Electricity,0.69
PV,25,11,Generated,Electricity,0.86
PV,25,12,Generated,Electricity,0.93
PV,25,13,Generated,Electricity,0.9
PV,25,14,Generated,Electricity,0.78
PV,25,15,Generated,Electricity,0.58
PV,25,16,Generated,Electricity,0.33
PV,25,17,Generated,Electricity,0.08
PV,25,18,Generated,Electricity,0.0
PV,25,19,Generated,Electricity,0.0
PV,25,20,Generated,Electricity,0.0
PV,25,21,Generated,Electricity,0.0
PV,25,22,Generated,Electricity,0.0
PV,25,23,Generated,Electricity,0.0
PV,26,0,Generated,Electricity,0.0
PV,26,1,Generated,Electricity,0.0
PV,26,2,Generated,Electricity,0.0
PV,26,3,Generated,Electricity,0.0
PV,26,4,Generated,Electricity,0.0
PV,26,5,Generated,Electricity,0.0
PV,26,6,Generated,Electricity,0.0
PV,26,7,Generated,Electricity,0.02
PV,26,8,Generated,Electricity,0.2
PV,26,9,Generated,Electricity,0.46
PV,26,10,Generated,Electricity,0.69
PV,26,11,Generated,Electricity,0.86
PV,26,12,Generated,Electricity,0.93
PV,26,13,Generated,Electricity,0.9
PV,26,14,Generated,Electricity,0.78
PV,26,15,Generated,Electricity,0.58
PV,26,16,Generated,Electricity,0.33
PV,26,17,Generated,Electricity,0.08
PV,26,18,Generated,Electricity,0.0
PV,26,19,Generated,Electricity,0.0
PV,26,20,Generated,Electricity,0.0
PV,26,21,Generated,Electricity,0.0
PV,26,22,Generated,Electricity,0.0
PV,26,23,Generated,Electricity,0.0
PV,27,0,Generated,Electricity,0.0
PV,27,1,Generated,Electricity,0.0
PV,27,2,Generated,Electricity,0.0
PV,27,3,Generated,Electricity,0.0
PV,27,4,Generated,Electricity,0.0
PV,27,5,Generated,Electricity,0.0
PV,27,6,Generated,Electricity,0.0
PV,27,7,Generated,Electricity,0.02
PV,27,8,Generated,Electricity,0.2
PV,27,9,Generated,Electricity,0.46
PV,27,10,Generated,Electricity,0.69
PV,27,11,Generated,Electricity,0.86
PV,27,12,Generated,Electricity,0.93
PV,27,13,Generated,Electricity,0.9
PV,27,14,Generated,Electricity,0.78
PV,27,15,Generated,Electricity,0.58
PV,27,16,Generated,Electricity,0.33
PV,27,17,Generated,Electricity,0.08
PV,27,18,Generated,Electricity,0.0
PV,27,19,Generated,Electricity,0.0
PV,27,20,Generated,Electricity,0.0
PV,27,21,Generated,Electricity,0.0
PV,27,22,Generated,Electricity,0.0
PV,27,23,Generated,Electricity,0.0
PV,28,0,Generated,Electricity,0.0
PV,28,1,Generated,Electricity,0.0
PV,28,2,Generated,Electricity,0.0
PV,28,3,Generated,Electricity,0.0
PV,28,4,Generated,Electricity,0.0
PV,28,5,Generated,Electricity,0.0
PV,28,6,Generated,Electricity,0.0
PV,28,7,Generated,Electricity,0.02
PV,28,8,Generated,Electricity,0.2
PV,28,9,Generated,Electricity,0.46
PV,28,10,Generated,Electricity,0.69
PV,28,11,Generated,Electricity,0.86
PV,28,12,Generated,Electricity,0.93
PV,28,13,Generated,Electricity,0.9
PV,28,14,Generated,Electricity,0.78
PV,28,15,Generated,Electricity,0.58
PV,28,16,Generated,Electricity,0.33
PV,28,17,Generated,Electricity,0.08
PV,28,18,Generated,Electricity,0.0
PV,28,19,Generated,Electricity,0.0
PV,28,20,Generated,Electricity,0.0
